,Pred_name,Com_name,F,E,T,max,min,Fork length (cm)* Mean,SD,year
165,Sebastes aleutianus,rougheye rockfish,60,10,70,48,22,32.82857143,6.99683454,2009
166,Sebastes alutus,Pacific ocean perch,118,20,138,47,19,35.36956522,6.700121022,2009
167,Sebastes babcocki,redbanded rockfish,39,5,44,48,21,37.18181818,6.51393043,2009
168,Sebastes borealis,shortraker rockfish,5,3,8,64,40,51.875,9.109453488,2009
169,Sebastes brevispinis,silvergray rockfish,2,NA,2,37,37,37,0,2009
170,Sebastes ciliatus,dusky rockfish,2,1,3,45,39,43,3.464101615,2009
171,Sebastes helvomaculatus,rosethorn rockfish,3,NA,3,29,24,27,2.645751311,2009
172,Sebastes polyspinis,northern rockfish,9,3,12,43,33,40.25,3.078517943,2009
173,Sebastes ruberrimus,yelloweye rockfish,3,1,4,58,46,51.5,5.196152423,2009
174,Sebastes variabilis,NA,32,6,38,48,19,39.97368421,6.934000998,2009
175,Sebastes variegatus,harlequin rockfish,7,NA,7,27,20,23.71428571,2.984084768,2009
176,Sebastes zacentrus,sharpchin rockfish,27,1,28,35,22,29.57142857,3.393114721,2009
177,Sebastolobus alascanus,NA,26,15,41,45,20,32.04878049,5.431165711,2009
178,species,NA,13,10,23,47,25,35.47826087,7.254275011,2009
179,Squalus acanthias,spiny dogfish,37,2,39,83,63,71.17948718,5.721022152,2009
180,Trichodon trichodon,NA,3,NA,3,18,17,17.33333333,0.577350269,2009
181,Albatrossia pectoralis,giant grenadier,162,10,172,35,15,27.52325581,3.172346685,2011
182,Anoplopoma fimbria,sablefish,407,88,495,101,28,56.21212121,10.14337774,2011
183,Atheresthes stomias,arrowtooth flounder,862,581,1443,80,11,40.42688843,13.93802004,2011
184,Clupea pallasii,Pacific herring,1,NA,1,20,20,20,NA,2011
185,Coryphaenoides acrolepis,Pacific grenadier,4,NA,4,13,11,12,1.154700538,2011
186,Elassodiscus caudatus,blackbelly snailfish,3,NA,3,10,10,10,0,2011
187,Eopsetta jordani,Petrale sole,15,NA,15,48,32,40.6,5.248128918,2011
188,Gadus chalcogrammus,walleye pollock,2592,59,2651,73,7,43.90305545,14.51099889,2011
189,Gadus macrocephalus,Pacific cod,4037,16,4053,95,7,52.00863558,12.33565905,2011
190,Hemilepidotus jordani,yellow Irish lord,506,2,508,48,19,36.67322835,5.201607229,2011
191,Hemitripterus bolini,bigmouth sculpin,15,12,27,74,17,53.44444444,17.15390364,2011
192,Hippoglossus stenolepis,Pacific halibut,1088,151,1239,147,19,58.77239709,18.14231605,2011
193,Lepidopsetta bilineata,rock sole,604,29,633,54,18,37.69826224,5.987244893,2011
194,Merluccius productus,North Pacific hake,32,5,37,68,20,46.62162162,13.65111178,2011
195,Myoxocephalus jaok,plain sculpin,46,7,53,55,29,41.47169811,7.194024694,2011
196,Myoxocephalus polyacanthocephalus,NA,88,12,100,77,26,49.83,11.74136691,2011
197,Oncorhynchus gorbuscha,pink salmon,14,NA,14,68,44,53.07142857,7.829572006,2011
198,Oncorhynchus keta,chum salmon,40,3,43,71,16,56.81395349,14.4950826,2011
199,Oncorhynchus kisutch,coho salmon,11,NA,11,63,18,35.90909091,21.14452433,2011
200,Oncorhynchus nerka,sockeye salmon,2,NA,2,58,58,58,0,2011
201,Oncorhynchus tshawytscha,Chinook salmon,35,NA,35,80,21,57.34285714,13.30179744,2011
202,Ophiodon elongatus,NA,84,28,112,117,59,80.375,12.3333029,2011
203,Sebastes aleutianus,rougheye rockfish,149,44,193,63,12,36.12953368,11.96343423,2011
204,Sebastes alutus,Pacific ocean perch,1260,145,1405,48,7,30.60355872,7.531708007,2011
205,Sebastes babcocki,redbanded rockfish,6,NA,6,35,19,28.5,5.822370651,2011
206,Sebastes borealis,shortraker rockfish,39,30,69,95,39,58.14492754,11.32186246,2011
207,Sebastes brevispinis,silvergray rockfish,74,39,113,64,28,49.75221239,7.186956158,2011
208,Sebastes flavidus,yellowtain rockfish,19,2,21,59,43,50.0952381,4.288411849,2011
209,Sebastes polyspinis,northern rockfish,250,57,307,48,30,39.85667752,3.35760468,2011
210,Sebastes ruberrimus,yelloweye rockfish,13,4,17,67,35,57.47058824,11.18658598,2011
211,Sebastolobus alascanus,NA,145,54,199,82,15,31.86432161,9.457864208,2011
212,species,NA,74,47,121,58,16,38.76033058,8.332691435,2011
213,Squalus acanthias,spiny dogfish,107,22,129,107,56,78.49612403,10.26075962,2011
214,Sebastes crameri,NA,NA,1,1,44,44,44,NA,2011
215,Albatrossia pectoralis,giant grenadier,87,11,98,32,18,26.37755102,3.888962192,2013
216,Atheresthes stomias,arrowtooth flounder,1000,973,1973,86,11,42.84591992,12.64496387,2013
217,Gadus chalcogrammus,walleye pollock,2367,59,2426,73,11,45.54492993,15.79593583,2013
218,Gadus macrocephalus,Pacific cod,3404,11,3415,105,13,51.88814056,14.84449041,2013
219,Hemilepidotus jordani,yellow Irish lord,14,NA,14,45,34,39.85714286,3.840215195,2013
220,Hippoglossus stenolepis,Pacific halibut,2436,257,2693,163,8,59.19235054,17.80109646,2013
221,Sebastes alutus,Pacific ocean perch,1226,223,1449,50,8,33.58523119,6.933370938,2013
222,Sebastes babcocki,redbanded rockfish,1,NA,1,29,29,29,NA,2013
223,Sebastes polyspinis,northern rockfish,18,12,30,46,35,40.53333333,2.648790659,2013
224,Sebastes variabilis,NA,5,2,7,50,33,45,5.686240703,2013
225,Atheresthes evermanni,Kamchatka flounder,1,2,3,63,38,52.33333333,12.89702808,2015
226,Atheresthes stomias,arrowtooth flounder,964,766,1730,77,13,41.4,12.21475466,2015
227,Gadus chalcogrammus,walleye pollock,2060,69,2129,69,6,43.66463128,13.51604704,2015
228,Gadus macrocephalus,Pacific cod,2960,29,2989,98,16,50.01940448,12.12257338,2015
229,Hippoglossus stenolepis,Pacific halibut,1555,195,1750,123,15,58.69428571,18.89269514,2015
230,Salvelinus malma,Dolly Varden,11,NA,11,47,31,39.09090909,6.789028582,2015
231,Sebastes alutus,Pacific ocean perch,845,191,1036,51,12,35.72490347,5.411081624,2015
232,Sebastes babcocki,redbanded rockfish,1,NA,1,46,46,46,NA,2015
233,Sebastes variabilis,NA,3,6,9,52,43,46.55555556,3.282952601,2015
234,Squalus acanthias,spiny dogfish,135,19,154,105,59,76.67532468,7.064486453,2015
235,Sebastes borealis,NA,NA,2,2,53,50,51.5,2.121320344,2015
236,Albatrossia pectoralis,giant grenadier,8,6,14,35,18,26.14285714,5.216204675,2017
237,Atheresthes stomias,arrowtooth flounder,838,883,1721,77,14,42.39105171,12.13230893,2017
238,Gadus chalcogrammus,walleye pollock,2126,90,2216,74,11,41.33844765,11.80156022,2017
239,Gadus macrocephalus,Pacific cod,1766,17,1783,98,18,53.99607403,12.22701863,2017
240,Hippoglossus stenolepis,Pacific halibut,1403,134,1537,126,16,58.82238126,17.70281489,2017
241,Ophiodon elongatus,NA,1,NA,1,89,89,89,NA,2017
242,Sebastes alutus,Pacific ocean perch,1149,233,1382,59,15,36.89001447,5.647199597,2017
243,Trichodon trichodon,NA,7,2,9,19,13,16.22222222,1.986062548,2017
244,Atheresthes stomias,arrowtooth flounder,766,547,1313,80,13,42.61233816,13.62648739,2019
245,Gadus chalcogrammus,walleye pollock,2253,34,2287,69,7,42.49234805,12.51650906,2019
246,Gadus macrocephalus,Pacific cod,2270,12,2282,98,15,53.33085013,14.78187463,2019
247,Hippoglossus stenolepis,Pacific halibut,1061,136,1197,125,19,60.22723475,18.18412407,2019
248,Sebastes alutus,Pacific ocean perch,750,109,859,50,15,35.29103609,6.645120279,2019
